product_id,name,category,style,color,occasion,material,price,description
P0001,Shoulder Bag,accessories,elegant,pink,wedding,linen,2400,pink elegant Shoulder Bag for wedding. Made from linen. Suitable for elegant looks and wedding occasions.
P0002,Shoulder Bag,accessories,formal,navy,office,satin,6100,navy formal Shoulder Bag for office. Made from satin. Suitable for formal looks and office occasions.
P0003,Midi Dress,dresses,elegant,blue,wedding,satin,8400,blue elegant Midi Dress for wedding. Made from satin. Suitable for elegant looks and wedding occasions.
P0004,Shirt Dress,dresses,casual,navy,festive,linen,6400,navy casual Shirt Dress for festive. Made from linen. Suitable for casual looks and festive occasions.
P0005,Loafers,shoes,streetwear,black,party,polyester,6100,black streetwear Loafers for party. Made from polyester. Suitable for streetwear looks and party occasions.
P0006,Saree,ethnic,casual,blue,travel,cotton,1800,blue casual Saree for travel. Made from cotton. Suitable for casual looks and travel occasions.
P0007,Wide Leg Trousers,bottoms,minimal,green,date,knit,1200,green minimal Wide Leg Trousers for date. Made from knit. Suitable for minimal looks and date occasions.
P0008,Statement Earrings,accessories,traditional,white,festive,cotton,7700,white traditional Statement Earrings for festive. Made from cotton. Suitable for traditional looks and festive occasions.
P0009,Lehenga,ethnic,streetwear,green,wedding,polyester,1500,green streetwear Lehenga for wedding. Made from polyester. Suitable for streetwear looks and wedding occasions.
P0010,Maxi Dress,dresses,streetwear,pink,office,knit,3600,pink streetwear Maxi Dress for office. Made from knit. Suitable for streetwear looks and office occasions.
P0011,Bodycon Dress,dresses,minimal,brown,travel,linen,5400,brown minimal Bodycon Dress for travel. Made from linen. Suitable for minimal looks and travel occasions.
P0012,Kurta Set,ethnic,formal,pink,office,satin,8800,pink formal Kurta Set for office. Made from satin. Suitable for formal looks and office occasions.
P0013,Oversized Shirt,tops,formal,blue,party,silk,5500,blue formal Oversized Shirt for party. Made from silk. Suitable for formal looks and party occasions.
P0014,Lehenga,ethnic,casual,green,college,linen,1100,green casual Lehenga for college. Made from linen. Suitable for casual looks and college occasions.
P0015,Sharara Set,ethnic,minimal,white,wedding,satin,9800,white minimal Sharara Set for wedding. Made from satin. Suitable for minimal looks and wedding occasions.
P0016,Kurta Set,ethnic,formal,brown,festive,polyester,6500,brown formal Kurta Set for festive. Made from polyester. Suitable for formal looks and festive occasions.
P0017,Blouse,tops,casual,blue,date,polyester,8100,blue casual Blouse for date. Made from polyester. Suitable for casual looks and date occasions.
P0018,Pleated Skirt,bottoms,minimal,blue,party,satin,7000,blue minimal Pleated Skirt for party. Made from satin. Suitable for minimal looks and party occasions.
P0019,Midi Dress,dresses,streetwear,white,party,polyester,2700,white streetwear Midi Dress for party. Made from polyester. Suitable for streetwear looks and party occasions.
P0020,Statement Earrings,accessories,traditional,white,festive,silk,8300,white traditional Statement Earrings for festive. Made from silk. Suitable for traditional looks and festive occasions.
P0021,Palazzo Pants,bottoms,traditional,black,office,polyester,7500,black traditional Palazzo Pants for office. Made from polyester. Suitable for traditional looks and office occasions.
P0022,Saree,ethnic,elegant,pink,festive,linen,6500,pink elegant Saree for festive. Made from linen. Suitable for elegant looks and festive occasions.
P0023,Wrap Dress,dresses,traditional,beige,office,knit,8700,beige traditional Wrap Dress for office. Made from knit. Suitable for traditional looks and office occasions.
P0024,Lehenga,ethnic,traditional,blue,party,denim,2700,blue traditional Lehenga for party. Made from denim. Suitable for traditional looks and party occasions.
P0025,Sandals,shoes,elegant,lavender,travel,silk,900,lavender elegant Sandals for travel. Made from silk. Suitable for elegant looks and travel occasions.
P0026,Wrap Dress,dresses,streetwear,pink,wedding,cotton,3700,pink streetwear Wrap Dress for wedding. Made from cotton. Suitable for streetwear looks and wedding occasions.
P0027,Block Heels,shoes,elegant,brown,office,knit,7500,brown elegant Block Heels for office. Made from knit. Suitable for elegant looks and office occasions.
P0028,Crop Top,tops,formal,brown,party,denim,7400,brown formal Crop Top for party. Made from denim. Suitable for formal looks and party occasions.
P0029,Flats,shoes,casual,navy,wedding,polyester,4600,navy casual Flats for wedding. Made from polyester. Suitable for casual looks and wedding occasions.
P0030,Palazzo Pants,bottoms,trendy,navy,everyday,cotton,3800,navy trendy Palazzo Pants for everyday. Made from cotton. Suitable for trendy looks and everyday occasions.
P0031,Satin Top,tops,minimal,black,wedding,satin,3500,black minimal Satin Top for wedding. Made from satin. Suitable for minimal looks and wedding occasions.
P0032,Midi Dress,dresses,formal,black,wedding,cotton,1100,black formal Midi Dress for wedding. Made from cotton. Suitable for formal looks and wedding occasions.
P0033,Anarkali,ethnic,traditional,blue,date,polyester,6900,blue traditional Anarkali for date. Made from polyester. Suitable for traditional looks and date occasions.
P0034,Oversized Shirt,tops,casual,lavender,everyday,linen,6700,lavender casual Oversized Shirt for everyday. Made from linen. Suitable for casual looks and everyday occasions.
P0035,Straight Jeans,bottoms,elegant,white,festive,denim,6100,white elegant Straight Jeans for festive. Made from denim. Suitable for elegant looks and festive occasions.
P0036,Pleated Skirt,bottoms,streetwear,black,office,cotton,5800,black streetwear Pleated Skirt for office. Made from cotton. Suitable for streetwear looks and office occasions.
P0037,Clutch,accessories,streetwear,white,wedding,linen,3100,white streetwear Clutch for wedding. Made from linen. Suitable for streetwear looks and wedding occasions.
P0038,Flats,shoes,casual,red,party,denim,6600,red casual Flats for party. Made from denim. Suitable for casual looks and party occasions.
P0039,Satin Top,tops,trendy,navy,office,cotton,9000,navy trendy Satin Top for office. Made from cotton. Suitable for trendy looks and office occasions.
P0040,Block Heels,shoes,elegant,blue,party,silk,6900,blue elegant Block Heels for party. Made from silk. Suitable for elegant looks and party occasions.
P0041,Straight Jeans,bottoms,streetwear,red,college,linen,5500,red streetwear Straight Jeans for college. Made from linen. Suitable for streetwear looks and college occasions.
P0042,Bodycon Dress,dresses,minimal,brown,date,silk,9600,brown minimal Bodycon Dress for date. Made from silk. Suitable for minimal looks and date occasions.
P0043,Watch,accessories,formal,brown,party,linen,4400,brown formal Watch for party. Made from linen. Suitable for formal looks and party occasions.
P0044,Satin Top,tops,traditional,navy,college,polyester,4700,navy traditional Satin Top for college. Made from polyester. Suitable for traditional looks and college occasions.
P0045,Midi Dress,dresses,traditional,brown,party,cotton,7200,brown traditional Midi Dress for party. Made from cotton. Suitable for traditional looks and party occasions.
P0046,Maxi Dress,dresses,elegant,lavender,office,polyester,3700,lavender elegant Maxi Dress for office. Made from polyester. Suitable for elegant looks and office occasions.
P0047,Wide Leg Trousers,bottoms,traditional,blue,college,satin,1700,blue traditional Wide Leg Trousers for college. Made from satin. Suitable for traditional looks and college occasions.
P0048,Palazzo Pants,bottoms,minimal,blue,travel,linen,4000,blue minimal Palazzo Pants for travel. Made from linen. Suitable for minimal looks and travel occasions.
P0049,Straight Jeans,bottoms,formal,pink,everyday,denim,1600,pink formal Straight Jeans for everyday. Made from denim. Suitable for formal looks and everyday occasions.
P0050,Bodycon Dress,dresses,traditional,lavender,office,cotton,7500,lavender traditional Bodycon Dress for office. Made from cotton. Suitable for traditional looks and office occasions.
P0051,Oversized Shirt,tops,minimal,beige,travel,cotton,3800,beige minimal Oversized Shirt for travel. Made from cotton. Suitable for minimal looks and travel occasions.
P0052,Saree,ethnic,casual,brown,date,satin,9000,brown casual Saree for date. Made from satin. Suitable for casual looks and date occasions.
